,Unnamed: 0,userId,movieId,timestamp,tag,rating,title,genres,year
39,39,62,6541,1525553960,captain nemo|comic book|gothic|Peta Wilson|Sean Connery|superhero,3.5,"League of Extraordinary Gentlemen, The",Action|Fantasy|Sci-Fi,2003
40,40,62,6564,1525554328,adventure|Angelina Jolie|heroine in tight suit,3.5,Lara Croft Tomb Raider: The Cradle of Life,Action|Adventure|Comedy|Romance|Thriller,2003
41,41,62,7153,1521488588,Adventure|ensemble cast|fantasy|fantasy world|great soundtrack|lord of the rings|scenic|stylized|Tolkien,5.0,"Lord of the Rings: The Return of the King, The",Action|Adventure|Drama|Fantasy,2003
42,42,474,7153,1072654131,Tolkein,5.0,"Lord of the Rings: The Return of the King, The",Action|Adventure|Drama|Fantasy,2003
43,43,62,8641,1521490412,hilarious|Steve Carell|Will Ferrell,4.0,Anchorman: The Legend of Ron Burgundy,Comedy,2004
44,44,305,8641,1520707055,stupid,3.0,Anchorman: The Legend of Ron Burgundy,Comedy,2004
45,45,327,8641,1234787997,awesome,5.0,Anchorman: The Legend of Ron Burgundy,Comedy,2004
46,46,424,8641,1457846526,comedy|Will Ferrell,4.5,Anchorman: The Legend of Ron Burgundy,Comedy,2004
47,47,62,27660,1525554402,animation|anime|cyberpunk|dark|Matrix|sci-fi,4.5,"Animatrix, The",Action|Animation|Drama|Sci-Fi,2003
48,48,62,27706,1526248533,dark comedy|Jim Carrey|meryl streep|quirky|stylized,4.0,Lemony Snicket's A Series of Unfortunate Events,Adventure|Children|Comedy|Fantasy,2004
49,49,62,27808,1525554894,Adam Sandler|family|sweet,4.0,Spanglish,Comedy|Drama|Romance,2004
50,50,62,27831,1532723284,British gangster|confusing|daniel craig|Exquisite plotting.|organized crime|stylish|Tom Hardy,4.5,Layer Cake,Crime|Drama|Thriller,2004
51,51,62,31658,1525869033,anime|fantasy world|Hayao Miyazaki|Studio Ghibli,3.5,Howl's Moving Castle,Adventure|Animation|Fantasy|Romance,2004
52,52,474,31658,1145451850,06 Oscar Nominated Best Movie - Animation|In Netflix queue,4.0,Howl's Moving Castle,Adventure|Animation|Fantasy|Romance,2004
53,53,62,33162,1525554409,David Thewlis|Eva Green|Liam Neeson|Orlando Bloom,4.0,Kingdom of Heaven,Action|Drama|Romance|War,2005
54,54,62,34150,1525553942,Chris Evans|comic book|heroine in tight suit|Jessica Alba|sexy female scientist|superhero,3.0,Fantastic Four,Action|Adventure|Sci-Fi,2005
55,55,62,37729,1530310521,gothic|helena bonham carter|Johnny Depp|Tim Burton|visually appealing,4.0,Corpse Bride,Animation|Comedy|Fantasy|Musical|Romance,2005
56,56,336,37729,1139047287,animation,2.5,Corpse Bride,Animation|Comedy|Fantasy|Musical|Romance,2005
57,57,474,37729,1139059912,06 Oscar Nominated Best Movie - Animation,4.0,Corpse Bride,Animation|Comedy|Fantasy|Musical|Romance,2005
58,58,62,38061,1532723298,black comedy|clever|fast-paced dialogue|good dialogue|Robert Downey Jr.|witty,4.0,Kiss Kiss Bang Bang,Comedy|Crime|Mystery|Thriller,2005
59,59,62,45447,1525637057,adventure|Audrey Tautou|conspiracy theory|Mystery|Paris|Tom Hanks|treasure hunt,3.5,"Da Vinci Code, The",Drama|Mystery|Thriller,2006
60,60,62,46723,1525554190,Brad Pitt|cate blanchett|multiple storylines|social commentary,3.0,Babel,Drama|Thriller,2006
61,61,62,46972,1525554198,Ben Stiller|Robin Williams,4.0,Night at the Museum,Action|Comedy|Fantasy|IMAX,2006
62,62,62,46976,1536874645,emma thompson|Maggie Gyllenhaal|modern fantasy|romance|surreal|Will Ferrell,4.0,Stranger than Fiction,Comedy|Drama|Fantasy|Romance,2006
63,63,62,49130,1526582362,Marion Cotillard,4.0,"Good Year, A",Comedy|Drama|Romance,2006
64,64,62,49530,1536874696,Africa|corruption|Jennifer Connelly|justice|Leonardo DiCaprio,4.5,Blood Diamond,Action|Adventure|Crime|Drama|Thriller|War,2006
65,65,62,53464,1525554739,bad acting|bad jokes|bad plot|Chris Evans|Jessica Alba|Marvel|sexy female scientist,3.0,Fantastic Four: Rise of the Silver Surfer,Action|Adventure|Sci-Fi,2007
66,66,62,58047,1528909343,Rachel Weisz|Ryan Reynolds,3.5,"Definitely, Maybe",Comedy|Drama|Romance,2008
67,67,62,59501,1525637504,fantasy|lion|narnia|Tilda Swinton,4.0,"Chronicles of Narnia: Prince Caspian, The",Adventure|Children|Fantasy,2008
68,68,62,60074,1525553927,bad script|Charlize Theron|Will Smith,3.0,Hancock,Action|Adventure|Comedy|Crime|Fantasy,2008
69,69,62,60126,1527004227,Anne Hathaway|Steve Carell,3.0,Get Smart,Action|Comedy,2008
70,70,62,61024,1528934209,comedy|James Franco|Seth Rogen|Stoner Movie,4.0,Pineapple Express,Action|Comedy|Crime,2008
71,71,62,63992,1528934225,audience intelligence underestimated|boring|chick flick|overrated|Teen movie,1.0,Twilight,Drama|Fantasy|Romance|Thriller,2008
72,72,62,68848,1527274282,Adrien Brody|con artists|funny|interesting characters|Mark Ruffalo|Rachel Weisz,4.0,"Brothers Bloom, The",Adventure|Comedy|Crime|Romance,2008
73,73,62,71535,1529777113,Bill Murray|dark comedy|Emma Stone|funny|Jesse Eisenberg|Woody Harrelson,3.5,Zombieland,Action|Comedy|Horror,2009
74,74,62,87430,1525555156,audience intelligence underestimated|CGI|cheesy|comic book|DC|DC Comics|Ryan Reynolds|space|superhero,3.5,Green Lantern,Action|Adventure|Sci-Fi,2011
75,75,62,88405,1525554858,comedy|funny|happy ending|HOT actress|Justin Timberlake|Mila Kunis|New York City|romance|sex,3.5,Friends with Benefits,Comedy|Romance,2011
76,76,62,96861,1529611221,Istanbul|Liam Neeson|predictable|Turkey|unnecessary sequel,3.5,Taken 2,Action|Crime|Drama|Thriller,2012
77,77,62,99114,1521488759,action|Christoph Waltz|funny|good soundtrack|Great performances|Humour|Leonardo DiCaprio|Quentin Tarantino|Samuel L. Jackson|Soundtrack|western,5.0,Django Unchained,Action|Drama|Western,2012
78,78,537,99114,1424140403,Soundtrack,4.5,Django Unchained,Action|Drama|Western,2012
79,79,62,103042,1525555304,Amy Adams|superhero,3.5,Man of Steel,Action|Adventure|Fantasy|Sci-Fi|IMAX,2013
80,80,62,104863,1528843953,daniel radcliffe|zoe kazan,4.0,What If,Comedy|Drama|Romance,2013
81,81,62,107348,1528934997,comedy|Steve Carell|stupid but funny|will ferrell,4.0,Anchorman 2: The Legend Continues,Comedy,2013
82,82,62,108190,1525554826,anti-intellectual|bad writing|dystopia|new society|plot holes|predictable|scifi|unintelligent,3.0,Divergent,Adventure|Romance|Sci-Fi|IMAX,2014
83,83,62,111743,1530471409,Charlize Theron|Liam Neeson|Seth MacFarlane|witty,3.5,A Million Ways to Die in the West,Comedy|Western,2014
84,84,62,114180,1525554378,action|dystopia|plot holes|post-apocalyptic|survival|thriller|unexplained|weak plot,3.5,"Maze Runner, The",Action|Mystery|Sci-Fi,2014
85,85,62,115149,1521489984,dark hero|gun-fu|Keanu Reeves|Revenge|secret society|stylish,5.0,John Wick,Action|Thriller,2014
86,86,119,115149,1436563084,action|killer|widows/widowers,4.5,John Wick,Action|Thriller,2014
87,87,62,116897,1528152841,black comedy|dark comedy|dark humor|ironic|multiple short stories|short stories,4.0,Wild Tales,Comedy|Drama|Thriller,2014
88,88,62,122912,1526028975,comic book|Dr. Strange|Great villain|Guardians of the Galaxy|Marvel|MCU|Robert Downey Jr.|Thanos|Thor|Visually stunning,4.0,Avengers: Infinity War - Part I,Action|Adventure|Sci-Fi,2018
89,89,567,122912,1525282047,Dark|emotional|Sad|Visually appealing|Visually stunning,3.0,Avengers: Infinity War - Part I,Action|Adventure|Sci-Fi,2018
90,90,62,128360,1521489877,characters|Dialogue|humor|Kurt Russell|Quentin Tarantino|Samuel L. Jackson|tension building|violent|Western,5.0,The Hateful Eight,Western,2015
91,91,62,135133,1525637477,dystopia|Jennifer Lawrence|love story|nonsense|politics|rebellion|revolution,3.5,The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,2015
92,92,62,135518,1530471334,Ben Kingsley|ethics|immortality|ryan reynolds,3.5,Self/less,Action|Mystery|Sci-Fi|Thriller,2015
93,93,62,135536,1525555066,Bad story|Bad writing|Batman|Ben Affleck|comic book|dc comics|good soundtrack|Harley Quinn|Harley Quinn's ass|Horrible directing|Jared Leto|Joker|lack of plot|Margot Robbie|Poor story|poorly paced|superhero|visually appealing|Will Smith,4.0,Suicide Squad,Action|Crime|Sci-Fi,2016
94,94,62,136864,1525555209,action|batman|ben affleck|dark|dc comics|Gal Gadot|superhero|superman|wonderwoman,4.0,Batman v Superman: Dawn of Justice,Action|Adventure|Fantasy|Sci-Fi,2016
95,95,62,139385,1521489905,leonardo DiCarpio|survival|tom hardy|visually appealing,4.0,The Revenant,Adventure|Drama,2015
96,96,567,139385,1525287401,cinematography|visually appealing|Visually Striking,3.0,The Revenant,Adventure|Drama,2015
97,97,62,158966,1526076371,building a family|creative|freedom|good writing|individualism|Viggo Mortensen,4.5,Captain Fantastic,Drama,2016
98,98,62,168248,1523048794,action|dark hero|gun tactics|hitman|Keanu Reeves|organized crime|secret society,4.5,John Wick: Chapter Two,Action|Crime|Thriller,2017
99,99,610,168248,1493850091,Heroic Bloodshed,5.0,John Wick: Chapter Two,Action|Crime|Thriller,2017
100,100,62,174053,1525637282,Dystopia|future|interesting|jon hamm|thought provoking,5.0,Black Mirror: White Christmas,Drama|Horror|Mystery|Sci-Fi|Thriller,2014
101,101,62,179401,1528934530,Action|Comedy|Dwayne Johnson|funny,3.5,Jumanji: Welcome to the Jungle,Action|Adventure|Children,2017
102,102,62,183611,1526244681,Comedy|funny|Rachel McAdams,4.0,Game Night,Action|Comedy|Crime|Horror,2018
103,103,62,184471,1528024895,adventure|Alicia Vikander|video game adaptation,3.5,Tomb Raider,Action|Adventure|Fantasy,2018
104,104,62,187593,1527274071,Josh Brolin|Ryan Reynolds|sarcasm,4.0,Deadpool 2,Action|Comedy|Sci-Fi,2018
105,105,62,187595,1528934550,Emilia Clarke|star wars,4.0,Solo: A Star Wars Story,Action|Adventure|Children|Sci-Fi,2018
106,106,63,260,1443199688,classic|space action,5.0,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
107,107,76,260,1439165601,action|sci-fi,4.0,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
108,108,103,260,1431954922,EPIC|great soundtrack,4.0,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
109,109,112,260,1442535777,classic sci-fi|engrossing adventure|EPIC,5.0,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
110,110,193,260,1435857223,classic sci-fi|space action|space epic,5.0,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
111,111,205,260,1519900208,oldie but goodie|sci-fi|Star Wars,4.5,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
112,112,474,260,975173633,darth vader|luke skywalker|space opera,4.0,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,1977
113,113,103,296,1431954439,good dialogue|great soundtrack|non-linear,5.0,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994
114,114,424,296,1457842438,cult film|drugs|Quentin Tarantino|Tarantino,4.5,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994
115,115,474,296,979179939,hit men,4.0,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994
116,116,599,296,1498456867,1990s|achronological|action|action packed|aggressive|amazing|amazing dialogues|anthology|assassin|atmospheric|AWESOME|bad ass|bad language|bad-ass|bible|biblical references|big boys with guns|big name actors|Black comedy|black humor|black humour|blood|blood splatters|bloody|bruce willis|brutality|casual violence|character development|characters|classic|classic movie|coke|comedy|conversation|cool|cool style|crime|crime scene scrubbing|cult|cult classic|cult film|dance|dancing|dark|dark comedy|dark humor|dialogue|different|diner|disjointed timeline|disturbing|drama|drug overdose|drugs|drugs & music|ensemble cast|entertaining|entirely dialogue|episodic|exciting|fast paced|fast-paced|film noir|film-noir|foul language|fun|funny|gangster|gangsters|genius|golden watch|good dialogue|good music|gore|great acting|great dialogue|great soundtrack|gritty|guns|Harvey Keitel|heroin|Highly quotable|hit men|hitman|homosexuality|humour|iconic|imdb top 250|innovative|intellectual|intelligent|intense|interesting|intertwining storylines|interwoven storylines|ironic|irony|John Travolta|killer-as-protagonist|los angeles|Mafia|masterpiece|meaningless violence|milkshake|mobster|mobsters|monologue|motherfucker|multiple stories|multiple storylines|neo-noir|noir|non-linear|non-linear timeline|nonlinear|nonlinear narrative|nonlinear storyline|nonlinear timeline|notable soundtrack|offensive|organised crime|organized crime|original|original plot|out of order|Palme d'Or|parody|philosophical|pop culture references|psychological|pulp|Quentin Tarantino|quirky|Quotable|r:disturbing violent content including rape|r:disturbing violent images|r:graphic sexuality|r:some violence|r:strong bloody violence|r:strong language|r:sustained strong stylized violence|r:violence|random|rape|retro|Roger Avary|royal with cheese|Samuel L. Jackson|sarcasm|satire|sexy|smart writing|sophisticated|soundtrack|splatter|Steve Buscemi|storytelling|stylish|stylized|suspense|Tarantino|thought-provoking|thriller|travolta|twist ending|Uma Thurman|unique|unpredictable|unusual|very funny|violence|violent|witty,5.0,Pulp Fiction,Comedy|Crime|Drama|Thriller,1994
117,117,106,4896,1467360453,Everything you want is here,5.0,Harry Potter and the Sorcerer's Stone,Adventure|Children|Fantasy,2001
118,118,184,4896,1537094519,alan rickman|harry potter|humorous|Magic,3.5,Harry Potter and the Sorcerer's Stone,Adventure|Children|Fantasy,2001
119,119,474,4896,1081177303,Magic|Wizards,4.5,Harry Potter and the Sorcerer's Stone,Adventure|Children|Fantasy,2001
120,120,106,106489,1467360741,adventure,5.0,"Hobbit: The Desolation of Smaug, The",Adventure|Fantasy|IMAX,2013
121,121,119,101142,1436042420,animation|funny|stone age,4.0,"Croods, The",Adventure|Animation|Comedy,2013
122,122,119,115617,1435943203,animation|kids|robots,5.0,Big Hero 6,Action|Animation|Comedy,2014
123,123,177,115617,1435523609,feel-good|fun family movie|very funny,5.0,Big Hero 6,Action|Animation|Comedy,2014
124,124,119,120635,1437859125,action|murder|police,4.5,Taken 3,Action|Crime|Thriller,2015
125,125,125,1726,1474483288,Kevin Costner|Post apocalyptic,4.5,"Postman, The",Action|Adventure|Drama|Sci-Fi,1997
126,126,125,2387,1474382209,dark comedy|dark humor,4.5,Very Bad Things,Comedy|Crime,1998
127,127,125,3052,1474591641,irreverent|jay and silent bob|Kevin Smith|satire,5.0,Dogma,Adventure|Comedy|Fantasy,1999
128,128,474,3052,1007320487,religion,4.0,Dogma,Adventure|Comedy|Fantasy,1999
129,129,125,5088,1474141620,irreverent,5.0,Going Places,Comedy|Crime|Drama,1974
130,130,125,7022,1474294895,based on a book|bloody|brutal|controversial|dystopia|goretastic|satire|social commentary|survival|violence,5.0,Battle Royale,Action|Drama|Horror|Thriller,2000
131,131,125,7254,1474289782,alternate reality|sci-fi|science fiction|time travel,5.0,The Butterfly Effect,Drama|Sci-Fi|Thriller,2004
132,132,125,8957,1474141821,brutal|clever|Disturbing|great ending|mindfuck|surprise ending|suspense,5.0,Saw,Horror|Mystery|Thriller,2004
133,133,125,9010,1474283090,cruel characters,5.0,Love Me If You Dare,Drama|Romance,2003
134,134,125,42632,1474294717,brutality,5.0,Lady Vengeance,Crime|Drama|Mystery|Thriller,2005
135,135,125,58301,1474294530,dark humor,5.0,Funny Games U.S.,Drama|Thriller,2007
136,136,567,58301,1525283351,dark|dark humor|intelligent|thought-provoking,4.5,Funny Games U.S.,Drama|Thriller,2007
137,137,125,60950,1474591720,threesome,5.0,Vicky Cristina Barcelona,Comedy|Drama|Romance,2008
138,138,125,62434,1474371925,Seth Rogen|Sexual Humor,4.5,Zack and Miri Make a Porno,Comedy|Drama|Romance,2008
139,139,125,67695,1474294341,Seth Rogen,5.0,Observe and Report,Action|Comedy,2009
140,140,125,100083,1474141969,embarassing scenes|offensive|R language|sarcasm|satire,5.0,Movie 43,Comedy,2013
141,141,125,156371,1474469682,80's,4.0,Everybody Wants Some,Comedy,2016
142,142,125,158872,1474141733,Crude humor|mindfuck|sarcasm|satire|Vulgar,5.0,Sausage Party,Animation|Comedy,2016
143,143,132,3556,1157924198,sofia coppola,4.0,"Virgin Suicides, The",Drama|Romance,1999
144,144,474,3556,1115584884,1970s|suicide,4.0,"Virgin Suicides, The",Drama|Romance,1999
145,145,132,6323,1157924990,John Cusack,3.0,Identity,Crime|Horror|Mystery|Thriller,2003
146,146,132,6367,1161799862,Ewan McGregor|Renee Zellweger,3.0,Down with Love,Comedy|Romance,2003
147,147,474,6367,1100292008,retro,4.0,Down with Love,Comedy|Romance,2003
148,148,138,59103,1222676542,jackie chan|kung fu,4.5,"Forbidden Kingdom, The",Action|Adventure|Comedy|Fantasy,2008
149,149,161,52287,1176498804,Something for everyone in this one... saw it without and plan on seeing it with kids!,4.0,Meet the Robinsons,Action|Adventure|Animation|Children|Comedy|Sci-Fi,2007
150,150,166,293,1188774465,assassin|Jean Reno,4.5,Léon: The Professional,Action|Crime|Drama|Thriller,1994
151,151,474,293,1079099410,hit men,3.5,Léon: The Professional,Action|Crime|Drama|Thriller,1994
152,152,599,293,1498456035,Action|assassin|assassination|assassins|awkward romance|corruption|crime|disturbing|drama|French|friendship|Gary Oldman|great acting|Guns|hit men|hitman|humorous|imdb top 250|Jean Reno|Lolita theme|loneliness|love story|Luc Besson|Natalie Portman|organized crime|police|police corruption|quirky|sniper|tense|touching|unique,5.0,Léon: The Professional,Action|Crime|Drama|Thriller,1994
153,153,166,54286,1188774329,assassin|assassin-in-training (scene)|espionage|Robert Ludlum,5.0,"Bourne Ultimatum, The",Action|Crime|Thriller,2007
154,154,167,104,1154718729,test tag,4.0,Happy Gilmore,Comedy,1996
155,155,474,104,978576279,golf,2.0,Happy Gilmore,Comedy,1996
156,156,477,104,1200940046,Adam Sandler,4.0,Happy Gilmore,Comedy,1996
157,157,184,2579,1537094293,black and white|Christopher Nolan|directorial debut|mindfuck|not linear|Twist Ending,4.0,Following,Crime|Mystery|Thriller,1998
158,158,474,2579,1046978769,black and white,4.0,Following,Crime|Mystery|Thriller,1998
159,159,184,3793,1537094351,action|comic book|hugh jackman|marvel|superhero,3.5,X-Men,Action|Adventure|Sci-Fi,2000
160,160,474,3793,1081177383,superhero,4.5,X-Men,Action|Adventure|Sci-Fi,2000
161,161,184,4226,1537094440,dark|Mindfuck|nonlinear|psychology|twist ending,5.0,Memento,Mystery|Thriller,2000
162,162,424,4226,1457843531,mystery|psychological|twist ending,4.5,Memento,Mystery|Thriller,2000
163,163,474,4226,990751680,Backwards. memory,5.0,Memento,Mystery|Thriller,2000
164,164,477,4226,1200939350,mystery|twist ending,4.0,Memento,Mystery|Thriller,2000
165,165,567,4226,1525282023,cerebral|dreamlike,3.5,Memento,Mystery|Thriller,2000
166,166,184,6283,1537094484,amazing artwork|anime|sci-fi,4.0,Cowboy Bebop: The Movie,Action|Animation|Sci-Fi|Thriller,2001
167,167,184,27156,1537094239,anime|end of the world|epic|mecha|psychology,4.5,Neon Genesis Evangelion: The End of Evangelion,Action|Animation|Drama|Fantasy|Sci-Fi,1997
168,168,184,193565,1537098554,anime|comedy|gintama|remaster,3.5,Gintama: The Movie,Action|Animation|Comedy|Sci-Fi,2010
169,169,193,4878,1435857313,atmospheric|cult film|dreamlike|hallucinatory|psychological|surreal|time travel,4.0,Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001
170,170,474,4878,1116256886,time travel,4.5,Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001
171,171,477,4878,1200940609,dreamlike|hallucinatory|mental illness|psychology|social commentary|teen|thought-provoking,5.0,Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001
172,172,567,4878,1525282268,atmospheric|cerebral|dreamlike|enigmatic|hallucinatory|mental illness|mindfuck|philosophy|psychological|quirky|surreal|thought-provoking|weird,3.5,Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001
173,173,193,7147,1435856997,dreamlike|sentimental|surreal|Tim Burton,3.5,Big Fish,Drama|Fantasy|Romance,2003
174,174,193,97938,1435857055,cinematography|India|surreal,4.0,Life of Pi,Adventure|Drama|IMAX,2012
175,175,226,6938,1159220558,big wave|surfing,4.0,Billabong Odyssey,Documentary,2003
176,176,226,48780,1162427904,ummarti2006,4.0,"Prestige, The",Drama|Mystery|Sci-Fi|Thriller,2006
177,177,567,48780,1525286462,atmospheric|enigmatic,3.5,"Prestige, The",Drama|Mystery|Sci-Fi|Thriller,2006
178,178,256,126548,1446999970,funny|high school,4.5,The DUFF,Comedy,2015
179,179,274,68319,1241762530,comic book,2.5,X-Men Origins: Wolverine,Action|Sci-Fi|Thriller,2009
180,180,477,68319,1241938806,bad plot|comic book|hugh jackman|Ryan Reynolds|too many characters,3.5,X-Men Origins: Wolverine,Action|Sci-Fi|Thriller,2009
181,181,289,3,1143424657,moldy|old,2.5,Grumpier Old Men,Comedy|Romance,1995
182,182,289,1101,1143424609,predictable,2.0,Top Gun,Action|Romance,1986
183,183,474,1101,1087832633,Navy,3.5,Top Gun,Action|Romance,1986
184,184,291,50872,1453051531,a clever chef rat|inspirational,5.0,Ratatouille,Animation|Children|Drama,2007
185,185,567,50872,1525283874,clever|inspirational,4.0,Ratatouille,Animation|Children|Drama,2007
186,186,291,102007,1453051402,animation,3.0,"Invincible Iron Man, The",Animation,2007
187,187,291,118696,1453051448,hope,4.0,The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,2014
188,188,300,6711,1425352017,atmospheric,5.0,Lost in Translation,Comedy|Drama|Romance,2003
189,189,474,6711,1087832050,Japan,3.5,Lost in Translation,Comedy|Drama|Romance,2003
190,190,305,4034,1516462785,drugs,4.5,Traffic,Crime|Drama|Thriller,2000
191,191,474,4034,1081177376,based on a TV show,4.5,Traffic,Crime|Drama|Thriller,2000
192,192,305,4995,1464428743,mathematics,5.0,"Beautiful Mind, A",Drama|Romance,2001
193,193,305,6502,1460136223,zombies,5.0,28 Days Later,Action|Horror|Sci-Fi,2002
194,194,474,6502,1090873556,zombies,4.5,28 Days Later,Action|Horror|Sci-Fi,2002
195,195,305,6953,1462473901,DEPRESSING,1.0,21 Grams,Crime|Drama|Mystery|Romance|Thriller,2003
196,196,305,34405,1520284858,predictable,2.5,Serenity,Action|Adventure|Sci-Fi,2005
197,197,474,34405,1128353652,Firefly,4.5,Serenity,Action|Adventure|Sci-Fi,2005
198,198,305,55721,1460304582,Favelas,5.0,Elite Squad,Action|Crime|Drama|Thriller,2007
199,199,305,83134,1518811444,black comedy,5.0,Tucker & Dale vs Evil,Comedy|Horror,2010
200,200,318,778,1333827950,based on a book|dark comedy|narrated,4.0,Trainspotting,Comedy|Crime|Drama,1996
201,201,474,778,1092012114,drug abuse,4.0,Trainspotting,Comedy|Crime|Drama,1996
202,202,318,4612,1416086034,reciprocal spectator,4.5,Jesus of Montreal,Drama,1989
203,203,318,4708,1415402882,reciprocal spectator,5.0,Marat/Sade,Drama|Musical,1966
